,id,lonlat,tags.power,tags.structure,Type,Country
184,7865558825.0,"[-11.780660099999922, 9.387032799999941]",tower,,Node,sierra-leone
185,1983090521.0,"[-12.556652799999988, 8.68240660000001]",tower,,Node,sierra-leone
186,7865558813.0,"[-11.806111599999923, 9.351916199999943]",tower,,Node,sierra-leone
187,2178178097.0,"[-11.943086699999986, 8.953486800000004]",tower,,Node,sierra-leone
188,2179080508.0,"[-11.961896099999985, 8.946626800000002]",tower,,Node,sierra-leone
189,1872320503.0,"[-12.953611599999881, 8.371668499999974]",tower,,Node,sierra-leone
190,2179090551.0,"[-12.98911089999999, 8.338432000000005]",tower,,Node,sierra-leone
191,2179080533.0,"[-11.871292899999986, 8.982406600000003]",tower,,Node,sierra-leone
192,1872320680.0,"[-13.202191099999885, 8.431799699999976]",tower,,Node,sierra-leone
193,2179080515.0,"[-11.929923799999987, 8.958309500000002]",tower,,Node,sierra-leone
194,2179090541.0,"[-13.00634669999999, 8.332165400000006]",tower,,Node,sierra-leone
195,7865532135.0,"[-11.955750499999928, 9.13837329999994]",tower,,Node,sierra-leone
196,7657398892.0,"[-11.836409799999931, 9.04519400000004]",tower,,Node,sierra-leone
197,2178168449.0,"[-12.276119599999987, 8.820957600000002]",tower,,Node,sierra-leone
198,1983090537.0,"[-12.542100099999987, 8.691348200000009]",tower,,Node,sierra-leone
199,1983090576.0,"[-12.518096599999987, 8.703208600000009]",tower,,Node,sierra-leone
200,2178168429.0,"[-12.349034499999986, 8.812290000000003]",tower,,Node,sierra-leone
201,2178168450.0,"[-12.272676399999987, 8.821350300000002]",tower,,Node,sierra-leone
202,2088169878.0,"[-12.068204299999994, 8.885991100000002]",tower,,Node,sierra-leone
203,2908543020.0,"[-11.77127159999989, 9.033090699999919]",tower,,Node,sierra-leone
204,7865558824.0,"[-11.783296799999922, 9.38435089999994]",tower,,Node,sierra-leone
205,1986155166.0,"[-12.481199499999997, 8.750219200000018]",tower,,Node,sierra-leone
206,8668408897.0,"[-12.218807300000064, 8.74834429999998]",tower,,Node,sierra-leone
207,7865558796.0,"[-11.849501299999922, 9.318001699999943]",tower,,Node,sierra-leone
208,1872320505.0,"[-12.95113309999988, 8.373967499999974]",tower,,Node,sierra-leone
209,7657398872.0,"[-11.777087399999935, 9.034886500000038]",tower,,Node,sierra-leone
210,2088169848.0,"[-12.100021699999996, 8.882143600000001]",tower,,Node,sierra-leone
211,2478971008.0,"[-12.044616500000004, 8.898095400000127]",tower,,Node,sierra-leone
212,6317106850.0,"[-12.94137549999999, 8.383100900000017]",tower,,Node,sierra-leone
213,7865558799.0,"[-11.845757399999922, 9.323248299999943]",tower,,Node,sierra-leone
214,8668408875.0,"[-12.22285160000006, 8.813195599999982]",tower,,Node,sierra-leone
215,3564382754.0,"[-11.76050640000001, 9.04236370000002]",tower,,Node,sierra-leone
216,3166191362.0,"[-12.780850100000007, 8.5115305]",tower,,Node,sierra-leone
217,2178178078.0,"[-12.019792699999988, 8.912188500000003]",tower,,Node,sierra-leone
218,1872320803.0,"[-12.77470299999988, 8.519684899999977]",tower,,Node,sierra-leone
219,2088169731.0,"[-12.219699800000003, 8.827206100000001]",tower,,Node,sierra-leone
220,2088169837.0,"[-12.102553699999996, 8.880972400000001]",tower,,Node,sierra-leone
221,3166191363.0,"[-12.778967900000007, 8.514095699999999]",tower,,Node,sierra-leone
222,2178168395.0,"[-12.472306299999989, 8.755099600000005]",tower,,Node,sierra-leone
223,3564382721.0,"[-11.767691900000012, 9.03609790000002]",tower,,Node,sierra-leone
224,2179090543.0,"[-13.08111299999999, 8.332800200000007]",tower,,Node,sierra-leone
225,2499162909.0,"[-13.135073800000027, 8.372839699999924]",tower,,Node,sierra-leone
226,7865558805.0,"[-11.831886299999923, 9.342671899999942]",tower,,Node,sierra-leone
227,2179080536.0,"[-11.861732599999986, 8.985944100000001]",tower,,Node,sierra-leone
228,2088169704.0,"[-12.247881700000002, 8.824090900000002]",tower,,Node,sierra-leone
229,2088169768.0,"[-12.1756408, 8.840396100000003]",tower,,Node,sierra-leone
230,1983090513.0,"[-12.569487499999987, 8.673939600000011]",tower,,Node,sierra-leone
231,2178168396.0,"[-12.46959119999999, 8.756569700000005]",tower,,Node,sierra-leone
232,2178168411.0,"[-12.404551999999986, 8.791606400000003]",tower,,Node,sierra-leone
233,1873043948.0,"[-13.249811699999883, 8.46300999999998]",tower,,Node,sierra-leone
234,7865532119.0,"[-11.938187099999926, 9.093291499999939]",tower,,Node,sierra-leone
235,1872320492.0,"[-12.961053299999882, 8.364683599999974]",tower,,Node,sierra-leone
236,2908543015.0,"[-11.799688299999891, 9.00924709999992]",tower,,Node,sierra-leone
237,8668408881.0,"[-12.21992110000006, 8.79364459999998]",tower,,Node,sierra-leone
238,7865532129.0,"[-11.965462599999928, 9.12235939999994]",tower,,Node,sierra-leone
239,2088169718.0,"[-12.229986700000003, 8.826058200000002]",tower,,Node,sierra-leone
240,3566595500.0,"[-11.738012700000008, 9.061984500000014]",tower,,Node,sierra-leone
241,7657398881.0,"[-11.804572799999937, 9.035651900000039]",tower,,Node,sierra-leone
242,7865558794.0,"[-11.85341229999992, 9.312332199999943]",tower,,Node,sierra-leone
243,7865558797.0,"[-11.910695599999922, 9.314945499999943]",tower,,Node,sierra-leone
244,7865532132.0,"[-11.962177199999928, 9.12938199999994]",tower,,Node,sierra-leone
245,8668408887.0,"[-12.218066600000059, 8.780402499999983]",tower,,Node,sierra-leone
246,1872320647.0,"[-12.896833599999884, 8.416824099999978]",tower,,Node,sierra-leone
247,2179080498.0,"[-11.995271699999986, 8.929465]",tower,,Node,sierra-leone
248,1983090495.0,"[-12.608106499999984, 8.656260400000013]",tower,,Node,sierra-leone
249,2178168418.0,"[-12.382135899999987, 8.800000100000004]",tower,,Node,sierra-leone
250,2179080565.0,"[-11.842788099999986, 8.993108400000004]",tower,,Node,sierra-leone
251,6317106847.0,"[-12.04934929999999, 8.887040600000015]",tower,,Node,sierra-leone
252,2178168448.0,"[-12.283326199999987, 8.820192200000001]",tower,,Node,sierra-leone
253,1873479446.0,"[-13.231274399999881, 8.450444599999974]",tower,,Node,sierra-leone
254,2088169821.0,"[-12.120219899999995, 8.873072700000002]",tower,,Node,sierra-leone
255,7657401099.0,"[-11.895110799999934, 9.066056000000039]",tower,,Node,sierra-leone
256,7657398893.0,"[-11.839362699999931, 9.04739110000004]",tower,,Node,sierra-leone
257,1983090480.0,"[-12.666851199999984, 8.629414300000011]",tower,,Node,sierra-leone
258,7865558821.0,"[-11.791543099999922, 9.37601899999994]",tower,,Node,sierra-leone
259,1873043951.0,"[-13.250371999999883, 8.46490779999998]",tower,,Node,sierra-leone
260,3147582529.0,"[-13.138270099999898, 8.375846100000068]",tower,,Node,sierra-leone
261,3564971068.0,"[-11.805232400000007, 9.007199400000019]",tower,,Node,sierra-leone
262,2178178124.0,"[-11.833315699999986, 8.996677100000001]",tower,,Node,sierra-leone
263,7865532122.0,"[-11.945448499999927, 9.101029299999938]",tower,,Node,sierra-leone
264,2178168397.0,"[-12.46739639999999, 8.757713700000005]",tower,,Node,sierra-leone
265,2178178079.0,"[-12.016940799999988, 8.914153800000003]",tower,,Node,sierra-leone
266,2179090555.0,"[-13.102357599999989, 8.347440100000005]",tower,,Node,sierra-leone
267,1986155161.0,"[-12.500061099999995, 8.723733200000018]",tower,,Node,sierra-leone
268,2179080510.0,"[-11.955880399999986, 8.948829000000002]",tower,,Node,sierra-leone
269,2178168423.0,"[-12.365821999999985, 8.806062200000003]",tower,,Node,sierra-leone
270,1872320501.0,"[-13.131585299999882, 8.369888399999974]",tower,,Node,sierra-leone
271,7865558826.0,"[-11.780196799999922, 9.39046289999994]",tower,,Node,sierra-leone
272,7865558807.0,"[-11.828412199999923, 9.343920099999943]",tower,,Node,sierra-leone
273,2179080537.0,"[-11.858547899999985, 8.987172300000001]",tower,,Node,sierra-leone
274,7657398878.0,"[-11.794937799999936, 9.03545860000004]",tower,,Node,sierra-leone
275,2088169886.0,"[-12.074231199999995, 8.887452500000002]",tower,,Node,sierra-leone
276,7865532147.0,"[-11.959208799999928, 9.18512489999994]",tower,,Node,sierra-leone
277,2178168430.0,"[-12.346599299999985, 8.813180700000002]",tower,,Node,sierra-leone
278,7865532138.0,"[-11.95652859999993, 9.148946499999939]",tower,,Node,sierra-leone
279,2179090498.0,"[-13.052295399999988, 8.325435000000008]",tower,,Node,sierra-leone
280,6533607292.0,"[-12.813020400000035, 8.474979400000034]",tower,,Node,sierra-leone
281,3116037437.0,"[-13.250899399999998, 8.468817899999994]",tower,,Node,sierra-leone
282,7865532131.0,"[-11.964713299999929, 9.12657069999994]",tower,,Node,sierra-leone
283,8656279847.0,"[-11.929082400000008, 9.083635499999971]",tower,,Node,sierra-leone
284,8668408890.0,"[-12.21670750000006, 8.770587699999982]",tower,,Node,sierra-leone
285,2299249538.0,"[-12.028446800000031, 8.905963500000006]",tower,,Node,sierra-leone
286,1983090481.0,"[-12.659228299999985, 8.632851000000011]",tower,,Node,sierra-leone
287,1872320774.0,"[-12.80278479999988, 8.482288399999975]",tower,,Node,sierra-leone
288,2478971009.0,"[-12.041044500000003, 8.899135600000127]",tower,,Node,sierra-leone
289,3564382781.0,"[-11.75575140000001, 9.04651320000002]",tower,,Node,sierra-leone
290,7865532158.0,"[-11.963525899999928, 9.22328519999994]",tower,,Node,sierra-leone
291,2178168442.0,"[-12.305317099999986, 8.817755200000002]",tower,,Node,sierra-leone
292,7865558820.0,"[-11.793752299999921, 9.373889599999941]",tower,,Node,sierra-leone
293,2178168421.0,"[-12.373017599999987, 8.803391000000003]",tower,,Node,sierra-leone
294,7865558795.0,"[-11.851407399999921, 9.315277799999944]",tower,,Node,sierra-leone
295,2179090501.0,"[-13.048746799999988, 8.325949200000007]",tower,,Node,sierra-leone
296,1986155157.0,"[-12.504232199999995, 8.717840500000017]",tower,,Node,sierra-leone
297,1872320718.0,"[-12.863491399999884, 8.439199499999976]",tower,,Node,sierra-leone
298,3139383153.0,"[-12.454713399999967, 8.764549799999983]",tower,,Node,sierra-leone
299,2178178122.0,"[-11.836949599999986, 8.995295100000002]",tower,,Node,sierra-leone
300,2178168406.0,"[-12.420365399999987, 8.783118300000003]",tower,,Node,sierra-leone
301,7865532159.0,"[-11.962672899999928, 9.22665889999994]",tower,,Node,sierra-leone
302,7865557378.0,"[-11.907650199999921, 9.315308899999945]",tower,,Node,sierra-leone
303,7865532161.0,"[-11.960851499999928, 9.23359409999994]",tower,,Node,sierra-leone
304,8656279846.0,"[-11.924774100000008, 9.079079399999971]",tower,,Node,sierra-leone
305,3182411838.0,"[-12.90994940000001, 8.408803000000008]",tower,,Node,sierra-leone
306,1986155164.0,"[-12.491718799999996, 8.735417800000018]",tower,,Node,sierra-leone
307,2178168422.0,"[-12.369226499999986, 8.804798100000003]",tower,,Node,sierra-leone
308,2179080514.0,"[-11.933419499999987, 8.957038700000002]",tower,,Node,sierra-leone
309,7865532127.0,"[-11.959586399999926, 9.116085099999939]",tower,,Node,sierra-leone
310,7865557384.0,"[-11.883325199999923, 9.309377699999944]",tower,,Node,sierra-leone
311,2178168414.0,"[-12.395505899999986, 8.795018000000002]",tower,,Node,sierra-leone
312,7657398869.0,"[-11.765846199999936, 9.033630800000038]",tower,,Node,sierra-leone
313,2088169780.0,"[-12.163734499999999, 8.846997900000003]",tower,,Node,sierra-leone
314,2179090503.0,"[-13.046043499999987, 8.326375100000007]",tower,,Node,sierra-leone
315,2178168409.0,"[-12.410446999999987, 8.788468700000003]",tower,,Node,sierra-leone
